,County FIPS,County Name,State,Population,"Weekly New Cases as of January 10, 2022","Weekly New Deaths as of January 10, 2022","Cases Moving Avg. December 7, 2021","Deaths Moving Avg. December 7, 2021","Cases Moving Avg. December 14, 2021","Deaths Moving Avg. December 14, 2021","Cases Moving Avg. December 21, 2021","Deaths Moving Avg. December 21, 2021","Cases Moving Avg. December 28, 2021","Deaths Moving Avg. December 28, 2021","Cases Moving Avg. January 4, 2022","Deaths Moving Avg. January 4, 2022","7-Day Daily Cases per 100,000 as of January 10, 2022","7-Day Daily Deaths per 100,000 as of January 10, 2022",% Unemployed,Median Household Income,Approximate Population Density,% African American,% Hispanic,% Asian American,% White American,% Native American or Alaska Native,% Native Hawaiian or Pacific Islander,% Adults With Degree 2015-19,"Mask Mandate Details as of January 11, 2022",Learn More,"% Fully Vaccinated as of January 12, 2022","% ≥ 12 Fully Vaccinated as of January 12, 2022","% ≥ 18 Fully Vaccinated as of January 12, 2022","% ≥ 65 Fully Vaccinated as of January 12, 2022","% At Least Partially Vaccinated as of January 12, 2022","% with Vaxx. and Booster as of January 12, 2022","% ≥ 18 with Vaxx. and Booster as of January 12, 2022","% ≥ 50 with Vaxx. and Booster as of January 12, 2022","% ≥ 65 with Vaxx. and Booster as of January 12, 2022"
10,1021,"Chilton County, AL",AL,44428,590,2,18.65,0.64,20.26,0.0,21.87,0.32,44.05,0.0,189.71,0.64,189.71,0.64,2.7,49692.0,64.12,10.34,8.18,0.49,87.06,0.56,0.17,24.6,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,34.7,40.8,42.9,64.9,42.4,26.4,27.9,37.4,47.3
11,1023,"Choctaw County, AL",AL,12589,150,0,11.35,0.0,3.4,2.27,11.35,0.0,64.68,0.0,170.22,0.0,170.22,0.0,4.7,39808.0,13.78,41.74,1.02,0.2,57.12,0.21,0.0,31.8,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,63.3,72.0,75.9,95.0,78.9,30.9,32.0,40.6,50.1
12,1025,"Clarke County, AL",AL,23622,375,1,3.02,0.0,7.86,0.6,6.65,0.0,33.26,0.6,226.79,0.6,226.79,0.6,5.8,43822.0,19.07,45.02,1.31,0.44,52.99,0.56,0.02,26.6,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,49.0,56.6,59.1,78.2,61.2,30.2,31.7,41.8,52.2
13,1027,"Clay County, AL",AL,13235,252,1,4.32,0.0,26.98,0.0,25.91,0.0,79.87,0.0,272.01,1.08,272.01,1.08,3.0,40562.0,21.91,13.78,3.29,0.29,83.23,0.57,0.0,28.3,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,41.1,47.2,49.6,66.7,49.5,24.9,25.8,32.8,40.1
14,1029,"Cleburne County, AL",AL,14910,129,1,13.41,0.0,5.75,0.0,23.0,0.0,48.86,0.0,123.6,0.96,123.6,0.96,3.2,51276.0,26.62,2.84,2.6,0.22,95.08,0.53,0.07,25.6,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,30.3,35.3,37.6,56.9,36.7,30.3,31.3,39.0,46.5
15,1031,"Coffee County, AL",AL,52342,744,6,7.91,0.0,13.1,0.55,25.38,0.27,46.94,0.0,203.06,1.64,203.06,1.64,2.9,57299.0,77.09,17.61,7.97,1.68,75.79,1.4,0.39,35.9,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,38.3,45.0,47.6,72.6,47.2,26.0,27.2,38.4,49.8
16,1033,"Colbert County, AL",AL,55241,1005,3,11.9,0.52,11.64,0.26,31.03,0.26,60.77,0.0,259.9,0.78,259.9,0.78,3.7,46683.0,93.22,16.22,3.24,0.68,80.45,0.69,0.07,29.2,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,46.1,53.2,55.2,77.0,55.1,30.8,32.3,41.6,51.5
17,1035,"Conecuh County, AL",AL,12067,233,0,8.29,0.0,7.1,0.0,7.1,0.0,34.33,0.0,275.84,0.0,275.84,0.0,4.0,41539.0,14.19,46.08,2.3,0.23,51.75,0.56,0.02,20.4,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,40.8,46.8,49.0,63.8,53.3,26.3,27.5,34.7,41.2
18,1037,"Coosa County, AL",AL,10663,215,0,21.44,0.0,18.76,0.0,20.1,0.0,57.61,0.0,288.05,0.0,288.05,0.0,3.0,42024.0,16.38,30.89,2.63,0.17,66.75,0.61,0.17,26.9,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,38.7,43.2,44.8,64.2,46.0,34.2,35.2,41.9,50.7
19,1039,"Covington County, AL",AL,37049,368,3,17.74,0.0,12.72,0.77,8.1,0.0,25.45,0.39,141.9,1.16,141.9,1.16,3.4,44836.0,35.95,12.52,1.85,0.5,84.51,0.76,0.01,30.8,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,36.7,42.7,45.1,65.2,45.0,26.5,27.6,34.6,43.4
20,1041,"Crenshaw County, AL",AL,13772,264,1,9.34,1.04,16.6,0.0,11.41,0.0,85.06,0.0,273.85,1.04,273.85,1.04,2.8,43309.0,22.62,23.88,2.42,1.1,72.17,0.66,0.04,22.3,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,32.9,38.4,40.7,63.0,40.1,28.2,29.4,37.9,44.3
21,1043,"Cullman County, AL",AL,83768,1214,5,23.53,0.17,28.65,0.0,32.23,0.17,53.21,0.34,207.03,0.85,207.03,0.85,2.6,50897.0,113.99,1.38,4.48,0.72,95.73,0.64,0.08,33.6,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,36.7,43.0,45.5,69.2,43.5,31.4,32.6,42.2,52.5
22,1045,"Dale County, AL",AL,49172,680,4,9.88,0.29,15.98,0.0,26.15,0.29,47.94,0.0,197.56,1.16,197.56,1.16,3.1,45120.0,87.63,20.98,7.02,1.45,73.77,0.86,0.18,35.7,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,51.8,60.9,64.5,76.7,60.6,19.9,20.6,32.6,47.8
23,1047,"Dallas County, AL",AL,37196,697,1,8.45,0.38,11.14,0.38,17.67,0.0,60.68,0.0,267.69,0.38,267.69,0.38,5.5,34034.0,38.01,70.71,1.15,0.45,27.58,0.31,0.05,31.2,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,43.1,50.6,53.0,71.3,56.7,33.0,34.9,44.2,52.2
24,1049,"DeKalb County, AL",AL,71513,708,5,15.78,0.4,14.18,0.4,22.77,0.4,35.76,0.2,141.43,1.0,141.43,1.0,2.8,44277.0,92.03,1.87,15.07,0.52,92.71,2.02,0.61,27.6,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,32.3,38.0,40.5,59.0,40.1,29.7,31.1,41.4,51.8
25,1051,"Elmore County, AL",AL,81209,1292,4,15.3,0.18,28.15,0.0,40.99,0.18,52.42,0.0,227.28,0.7,227.28,0.7,2.6,62310.0,131.3,21.15,3.16,0.75,75.68,0.51,0.11,29.1,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,42.9,49.9,52.5,82.6,53.5,26.4,27.6,36.0,45.3
26,1053,"Escambia County, AL",AL,36633,738,2,4.29,1.17,7.02,0.39,20.67,0.0,82.67,0.0,287.8,0.78,287.8,0.78,3.5,42712.0,38.76,31.26,2.6,0.33,62.28,3.9,0.08,24.9,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,34.9,40.8,43.2,70.7,45.1,28.4,29.5,38.2,45.6
27,1055,"Etowah County, AL",AL,102268,1330,3,10.9,0.56,10.76,0.28,18.16,0.14,45.68,0.0,185.79,0.42,185.79,0.42,3.3,43047.0,191.05,15.74,4.14,0.82,80.67,0.61,0.3,33.9,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,39.5,45.7,47.9,70.1,47.8,31.2,32.5,42.6,52.6
28,1057,"Fayette County, AL",AL,16302,158,0,18.4,0.0,17.53,0.88,21.03,0.0,26.29,0.0,138.46,0.0,138.46,0.0,3.1,44212.0,25.97,11.66,2.05,0.48,85.76,0.48,0.01,28.9,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,33.4,38.5,40.4,59.5,38.8,29.1,30.3,37.9,44.4
29,1059,"Franklin County, AL",AL,31362,349,2,18.68,0.0,15.03,0.46,21.86,0.46,31.89,0.46,158.97,0.91,158.97,0.91,2.8,44874.0,49.48,4.38,17.88,0.36,91.69,1.66,0.22,26.6,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,41.7,49.7,52.8,78.7,51.0,27.9,29.2,39.4,49.8
30,1061,"Geneva County, AL",AL,26271,169,1,11.42,0.54,16.86,0.0,5.98,0.0,22.3,0.0,91.9,0.54,91.9,0.54,2.9,43089.0,45.74,9.31,4.17,0.35,87.15,1.12,0.07,31.8,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,36.9,42.7,45.9,71.2,44.1,28.6,29.4,37.7,46.4
31,1063,"Greene County, AL",AL,8111,99,2,7.05,0.0,3.52,0.0,26.42,0.0,68.69,0.0,174.37,3.52,174.37,3.52,5.6,28699.0,12.53,79.92,1.71,0.28,18.49,0.38,0.0,30.5,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,48.6,56.0,58.0,73.2,61.6,38.5,41.1,52.1,59.0
32,1065,"Hale County, AL",AL,14651,304,0,18.53,0.0,18.53,0.0,15.6,1.95,58.5,0.0,296.42,0.0,296.42,0.0,3.9,40745.0,22.75,58.02,1.43,0.3,40.7,0.27,0.01,26.4,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,58.6,68.8,70.8,83.6,69.6,33.8,36.0,47.4,56.1
33,1067,"Henry County, AL",AL,17205,192,1,19.93,0.0,19.1,0.0,19.93,0.0,31.55,0.0,159.42,0.83,159.42,0.83,3.6,48597.0,30.63,25.89,2.69,0.42,71.58,0.46,0.02,29.8,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,43.4,49.6,52.6,71.9,52.7,28.7,29.6,38.4,48.2
34,1069,"Houston County, AL",AL,105882,1285,5,10.12,0.13,20.24,0.27,21.05,0.13,40.21,0.27,173.37,0.67,173.37,0.67,3.0,50138.0,182.6,27.37,3.43,1.07,68.82,0.54,0.09,33.1,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,41.3,48.3,51.0,73.8,49.7,27.9,29.2,39.1,48.4
35,1071,"Jackson County, AL",AL,51626,506,2,22.14,0.83,18.54,0.28,33.48,0.0,40.95,0.28,140.02,0.55,140.02,0.55,3.3,44322.0,47.9,3.49,3.07,0.58,91.37,1.65,0.11,28.2,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,46.7,53.4,56.4,83.3,57.0,31.9,33.2,41.7,50.5
36,1073,"Jefferson County, AL",AL,658573,15813,9,5.64,0.0,20.15,0.37,64.45,0.07,129.39,0.0,343.01,0.2,343.01,0.2,2.9,54127.0,592.62,43.47,4.08,1.79,53.07,0.28,0.06,30.3,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,55.0,64.1,66.1,88.5,68.5,32.2,34.4,44.8,53.4
37,1075,"Lamar County, AL",AL,13805,85,1,12.42,0.0,13.45,0.0,23.8,2.07,31.04,2.07,87.96,1.03,87.96,1.03,3.1,42686.0,22.82,10.33,1.91,0.11,87.53,0.31,0.01,30.6,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,41.8,48.2,51.5,75.4,48.3,34.0,35.1,43.2,51.5
38,1077,"Lauderdale County, AL",AL,92729,1410,2,19.26,0.31,11.86,0.46,28.35,0.77,59.16,0.15,217.22,0.31,217.22,0.31,3.3,48188.0,138.88,10.02,2.86,0.82,86.96,0.45,0.06,27.9,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,44.3,50.3,52.7,75.1,55.4,31.2,32.4,41.8,50.9
39,1079,"Lawrence County, AL",AL,32924,387,2,14.75,0.0,12.58,1.3,21.26,0.87,46.43,0.43,167.92,0.87,167.92,0.87,3.1,47797.0,47.67,10.88,2.37,0.22,78.23,5.79,0.02,25.5,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,45.2,52.4,55.6,82.5,53.1,31.3,32.4,41.8,53.3
40,1081,"Lee County, AL",AL,164542,3010,2,8.07,0.09,13.54,0.09,36.55,0.26,53.39,0.0,261.33,0.17,261.33,0.17,2.7,54160.0,270.83,22.94,3.7,4.17,70.75,0.36,0.09,31.8,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,36.9,42.4,43.8,63.3,44.3,29.7,31.4,43.9,52.1
41,1083,"Limestone County, AL",AL,98915,1556,2,14.59,0.29,18.34,0.58,34.23,0.29,60.22,0.14,224.72,0.29,224.72,0.29,2.6,64729.0,176.65,13.91,6.22,1.68,81.0,0.84,0.18,28.6,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,35.0,40.5,42.8,67.4,41.0,27.7,29.1,38.9,51.4
42,1085,"Lowndes County, AL",AL,9726,241,0,1.47,0.0,7.34,0.0,35.25,0.0,91.07,0.0,353.98,0.0,353.98,0.0,5.7,33930.0,13.59,72.41,1.86,0.48,25.98,0.35,0.04,24.0,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,46.5,54.5,56.4,77.3,60.6,32.2,33.8,42.3,49.3
43,1087,"Macon County, AL",AL,18068,373,0,9.49,0.79,17.39,0.0,26.88,0.0,65.63,0.79,294.92,0.0,294.92,0.0,4.3,34281.0,29.67,80.37,1.9,0.6,17.32,0.27,0.02,31.2,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,45.3,50.9,51.6,70.6,57.5,31.4,33.1,42.7,51.5
44,1089,"Madison County, AL",AL,372909,7011,11,14.86,0.34,20.57,0.31,44.51,0.19,80.45,0.19,268.58,0.42,268.58,0.42,2.5,68609.0,465.2,24.86,5.19,2.68,68.87,0.8,0.11,28.3,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,58.1,66.5,68.3,88.1,71.4,31.3,33.5,44.0,56.4
45,1091,"Marengo County, AL",AL,18863,233,0,0.76,0.0,4.54,0.0,10.6,0.0,44.68,0.0,176.46,0.0,176.46,0.0,3.5,38838.0,19.31,51.62,2.8,0.3,46.62,0.25,0.19,29.8,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,52.2,60.9,63.5,81.7,64.7,29.8,31.5,41.3,49.5
46,1093,"Marion County, AL",AL,29709,303,0,7.21,0.0,10.1,0.0,19.72,0.0,17.79,0.0,145.7,0.0,145.7,0.0,3.4,44675.0,40.02,3.86,2.69,0.33,94.04,0.42,0.07,32.0,Alabama's mask mandate expired April 9. The state Department of Public Health recommends face-covering in public as part of its COVID-19 safety guidance. Municipal mask mandates in Birmingham and Montgomery expired in May.,Covid-19 Prevention Guidelines - https://www.alabamapublichealth.gov/covid19/prevention.html,35.2,40.4,42.9,62.3,41.3,30.9,32.0,40.9,49.2
